address,bing_type,bing_confidence,bing_latitude,bing_longitude,mapquest_type,mapquest_class,mapquest_latitude,mapquest_longitude
"450 5TH AVE, New York, NY, 11215",Address,Medium,40.668986812233925,-73.9865168184042,restaurant,amenity,40.6690603,-73.9867040830882
"22 CORTLANDT STREET, New York, NY, 10007",Address,High,40.71046447753906,-74.010498046875,house,place,40.71048155,-74.0104873142631
"2083 AMSTERDAM AVENUE, New York, NY, 10032",Address,High,40.83652877807617,-73.93894958496094,house,place,40.8365862,-73.9390794
"2028 ROCKAWAY PKWY, New York, NY, 11236",Address,High,40.6333301961422,-73.88934709131718,house,place,40.633447,-73.88944
"706 MANHATTAN AVE, New York, NY, 11222",Address,High,40.72574234008789,-73.95166778564453,house,place,40.7257325,-73.9517135665184
"8603 18TH AVE, New York, NY, 11214",Address,High,40.606990814208984,-74.00264739990234,house,place,40.6069839,-74.0026503279275
"3405 30TH AVE, New York, NY, 11103",Address,High,40.76584243774414,-73.91859436035156,primary,highway,40.7596331,-73.9012562
"21 SOUTH END AVENUE, New York, NY, 10280",Address,High,40.708141,-74.017791,house,place,40.7081905,-74.0177872
"449 WEST 51 STREET, New York, NY, 10019",Address,High,40.76507568359375,-73.99018859863281,,,,
"94-07 ASTORIA BOULEVARD, New York, NY, 11369",Address,High,40.76309680938721,-73.87510322034359,house,place,40.76318255,-73.8749215735959
"3605 30TH AVE, New York, NY, 11103",Address,High,40.76511001586914,-73.9169692993164,primary,highway,40.7596331,-73.9012562
"3315 56 STREET, New York, NY, 11377",Address,High,40.752803802490234,-73.90485382080078,,,,
"1842 FLATBUSH AVENUE, New York, NY, 11210",Address,High,40.624671936035156,-73.93946838378906,house,place,40.6247389,-73.9393639
"285 COURT STREET, New York, NY, 11231",Address,High,40.684242,-73.99472,house,place,40.6842728,-73.9948202
"300 WEST 116TH STREET, New York, NY, 10026",Address,High,40.80444775521755,-73.95555675029755,house,place,40.8044008,-73.9557314
"6269 DRY HARBOR RD, New York, NY, 11379",RoadBlock,Medium,40.72483825683594,-73.87310791015625,house,place,40.7240290204082,-73.8735209387755
"3412 31ST AVE, New York, NY, 11106",Address,High,40.7628173828125,-73.9207992553711,residential,highway,40.75806,-73.8971909
"658 NOSTRAND AVE, New York, NY, 11216",Address,High,40.6758918762207,-73.95024108886719,house,place,40.6758854,-73.9501638
"13403 LIBERTY AVENUE, New York, NY, 11419",Address,High,40.69172668457031,-73.8126220703125,tertiary,highway,40.673027,-73.9057559
"115 COURT ST, New York, NY, 11201",Address,High,40.69056585431099,-73.9919114112854,house,place,40.6905303,-73.9917602
"7146 MAIN STREET, New York, NY, 11367",RoadBlock,Medium,40.73292922973633,-73.82520294189453,primary,highway,40.7163182,-73.8165131
"19-25 ST NICHOLAS AVENUE, New York, NY, 10026",RoadBlock,Medium,40.805870056152344,-73.95281219482422,secondary,highway,40.806709,-73.9528569
"2811 23RD AVE, New York, NY, 11105",Address,High,40.77546310424805,-73.91394805908203,tertiary,highway,40.7765242,-73.9159228
"1506 WESTCHESTER AVE, New York, NY, 10472",Address,High,40.82849308848381,-73.87973070144653,house,place,40.8284566666667,-73.8797333333333
"64 FROST ST, New York, NY, 11211",Address,High,40.717582404613495,-73.94942857325077,house,place,40.717512,-73.9493306260797
"10205 DITMARS BOULEVARD, New York, NY, 11369",Address,High,40.76832580566406,-73.86681365966797,house,place,40.7682241122449,-73.8675461938776
"1546 MADISON AVE, New York, NY, 10029",Address,High,40.79280471801758,-73.95039367675781,house,place,40.79279425,-73.9503745529087
"1011 COLUMBUS AVE, New York, NY, 10025",Address,High,40.801316276192665,-73.96128326654434,fast_food,amenity,40.8014846,-73.9609764
"75 9 AVE, New York, NY, 10011",Address,High,40.742188319563866,-74.00456473231316,,,,
"1221 BOWERY ST, New York, NY, 11224",Address,High,40.57482786476612,-73.9802223443985,house,place,40.5746962653061,-73.9799310204082
"132 4TH AVE, New York, NY, 10003",Address,High,40.73341751098633,-73.99021911621094,house,place,40.733243,-73.9900363333333
"NKA JFK INTERNATIONAL AIRPORT, New York, NY, 11432",,,,,,,,
"NKA JFK INTERNATIONAL AIRPORT, New York, NY, 11430",,,,,,,,
"568 METROPOLITAN AVE, New York, NY, 11211",Address,High,40.71382141113281,-73.9499740600586,house,place,40.71380285,-73.9499705410868
"1365 1ST AVENUE, New York, NY, 10021",Address,High,40.768829,-73.955604,house,place,40.76882675,-73.9556045235192
"164 PARK PLACE, New York, NY, 11217",Address,High,40.67755043506622,-73.97297568619251,house,place,40.6774831,-73.9729226
"10309 METROPOLITAN AVE, New York, NY, 11375",Address,High,40.71047592163086,-73.84944915771484,secondary,highway,40.7132801,-73.8696345
"237 NASSAU AVE, New York, NY, 11222",Address,High,40.725971,-73.942817,house,place,40.7258686,-73.9428009
"13617 41ST AVE, New York, NY, 11355",Address,High,40.758872985839844,-73.82894897460938,residential,highway,40.7586982,-73.8288047
"BOARDWALK WEST 8TH STREET, New York, NY, 11224",RoadBlock,High,40.579429626464844,-73.97618865966797,,,,
"11144 SPRINGFIELD BLVD, New York, NY, 11429",Address,High,40.705657958984375,-73.74005126953125,primary,highway,40.715656,-73.7355349
"229 DUFFIELD STREET, New York, NY, 11201",Address,High,40.69122314453125,-73.98410034179688,house,place,40.6915427142857,-73.9842618571429
"45 WEST    8 STREET, New York, NY, 10011",Address,High,40.733360290527344,-73.99842071533203,,,,
"3119 NEWTOWN AVE, New York, NY, 11102",RoadBlock,Medium,40.767669677734375,-73.92079162597656,residential,highway,40.7709159,-73.9242376
"684 3RD AVENUE, New York, NY, 10017",Address,High,40.751670837402344,-73.97419738769531,house,place,40.7516124,-73.9740535
"181 IRVING AVE, New York, NY, 11237",Address,High,40.70216369628906,-73.9194107055664,house,place,40.70212645,-73.9194501827569
"43-45 W 55 STREET, New York, NY, 10019",RoadBlock,Medium,40.76966857910156,-73.99394226074219,,,,
"5805 31 AVENUE, New York, NY, 11377",Address,High,40.75758361816406,-73.90354919433594,,,,
"72 HENRY ST, New York, NY, 11201",Address,High,40.698711,-73.992622,restaurant,amenity,40.6986946,-73.9925742
"70 E. 1ST STREET, New York, NY, 10003",Address,High,40.72355651855469,-73.98880004882812,house,place,40.72355405,-73.9887976969533
"552 3RD AVE, New York, NY, 11215",Address,High,40.66828155517578,-73.99404907226562,fast_food,amenity,40.6684945,-73.9939826
"6135 JUNCTION BLVD, KIOSK #01K02, New York, NY, 11374",,,,,,,,
"1073 LIBERTY AVE, New York, NY, 11208",Address,High,40.67853546142578,-73.86975860595703,house,place,40.6784263,-73.8696697
"4028 BROADWAY, New York, NY, 10032",Address,High,40.84202818572521,-73.93893644213676,house,place,40.8421723157895,-73.9391739473684
"1098 FOREST AVE, New York, NY, 10310",Address,High,40.62674331665039,-74.12622833251953,house,place,40.6268092,-74.1262423388399
"712 THIRD AVE, New York, NY, 10017",Address,High,40.752628326416016,-73.9734878540039,,,,
"12904 LIBERTY AVE, New York, NY, 11419",Address,High,40.68915939331055,-73.81591796875,tertiary,highway,40.673027,-73.9057559
"3 COLUMBUS CIRCLE, New York, NY, 10019",Address,High,40.76769210398197,-73.98227021098137,pharmacy,amenity,40.7667867,-73.9825327
"3664 BROADWAY, New York, NY, 10031",Address,High,40.83040751516819,-73.9473619312048,house,place,40.8303785,-73.9472433
"147 W 46TH ST, New York, NY, 10036",Address,High,40.75834274291992,-73.98391723632812,house,place,40.75834555,-73.9839084275187
"3617 GREENPOINT AVE, New York, NY, 11101",Address,High,40.73793411254883,-73.929443359375,house,place,40.7375444489796,-73.9296835918367
"371 WEST 34 STREET, New York, NY, 10001",Address,High,40.75316525995731,-73.99564705789089,,,,
"689 9TH AVE, New York, NY, 10036",Address,High,40.76199722290039,-73.99040985107422,secondary,highway,40.7565441,-73.9940454
"1183 BROADWAY, New York, NY, 11221",Address,High,40.69274139404297,-73.92721557617188,house,place,40.69273015,-73.927223175933
"358 E 2ND ST, New York, NY, 11218",Address,High,40.64249999821186,-73.9782589673996,house,place,40.64253755,-73.97833295
"744 E. TREMONT AVE, New York, NY, 10457",Address,High,40.844425201416016,-73.88968658447266,house,place,40.8444381,-73.8896785941217
"766 LYDIG AVENUE, New York, NY, 10462",Address,High,40.85440255701542,-73.86515021324158,house,place,40.854367,-73.8651464545455
